Area,Region,Avg_Price,Min_Price,Max_Price,Volatility,Trend_2010_2023,Data_Points,Year_Min,Year_Max
Brunei Darussalam,Asia,91.93,14.32,341.59,57.67,23.26,2230.0,1991.0,2024.0
Bulgaria,Europe,93.84,9.12,1184.29,72.78,60.63,3510.0,1998.0,2024.0
Burkina Faso,Africa,86.69,7.72,406.77,71.32,52.2,2516.0,1991.0,2024.0
Burundi,Africa,73.13,0.69,661.17,317.76,33.97,2133.0,1991.0,2024.0
Cabo Verde,Africa,93.58,18.73,470.32,62.05,19.69,1749.0,1991.0,2024.0
Cambodia,Asia,76.61,2.58,429.98,56.54,55.83,2226.0,1991.0,2024.0
Cameroon,Africa,84.63,10.88,318.07,45.13,22.43,3244.0,1991.0,2024.0
Canada,Americas,87.96,18.09,396.78,39.63,74.87,3210.0,1991.0,2024.0
Central African Republic,Africa,90.61,1.61,116.46,317.77,,214.0,1991.0,2024.0
Chad,Africa,101.08,38.44,296.05,31.92,-10.31,918.0,2007.0,2024.0
Chile,Americas,76.24,0.21,752.99,353.35,244.47,3386.0,1991.0,2024.0
"China, Hong Kong SAR",Other,65.26,8.82,176.29,68.84,162.11,1191.0,1991.0,2024.0
"China, mainland",Asia,81.43,0.96,408.59,145.79,43.64,6051.0,1991.0,2024.0
Colombia,Americas,87.52,1.6,766.28,84.71,59.06,3443.0,1991.0,2024.0
Congo,Africa,74.75,6.08,390.91,147.67,77.4,2448.0,1991.0,2024.0
Cook Islands,Oceania,69.02,11.61,438.46,42.13,195.68,1292.0,1991.0,2024.0
Costa Rica,Americas,87.11,1.83,784.91,350.65,27.17,2635.0,1991.0,2024.0
Croatia,Europe,96.45,0.94,564.52,199.97,-78.66,3476.0,1992.0,2024.0
Cuba,Americas,77.37,2.8,211.08,145.33,75.8,1769.0,1996.0,2024.0
Cyprus,Asia,100.43,1.33,326.92,190.05,13.03,3512.0,1991.0,2024.0
Czechia,Europe,92.85,23.3,272.07,40.48,72.02,3188.0,1993.0,2024.0
C̫te d'Ivoire,Other,93.15,3.25,2190.79,311.74,19.29,2993.0,1991.0,2024.0
Denmark,Europe,98.92,20.82,359.01,56.91,67.89,2276.0,1991.0,2024.0
Dominican Republic,Americas,80.05,1.19,1458.29,176.39,201.84,2728.0,1991.0,2024.0
Ecuador,Americas,65.59,0.26,476.01,369.07,34.46,4166.0,1991.0,2024.0
Egypt,Africa,97.23,0.41,3079.83,447.79,438.94,4333.0,1991.0,2024.0
